#publisher,California Health and Human Services 
#name,YEAR,COUNTY,# of Deaths
#datatype,'int','str','int'

YEAR,COUNTY,# of Deaths
2023,Contra Costa,507
2023,Del Norte,16
2023,El Dorado,41
2023,Fresno,703
2023,Glenn,1
2023,Humboldt,99
2023,Imperial,73
2023,Inyo,6
2023,Kern,502
2023,Kings,55
2023,Lake,8
2023,Lassen,5
2023,Los Angeles,6086
2023,Marin,91
2023,Mariposa,3
2023,Mendocino,32
2023,Merced,63
2023,Modoc,2
2023,Mono,0
2023,Monterey,222
2023,Napa,90
2023,Nevada,28
2023,Orange,1696
2023,Placer,345
2023,Plumas,3
2023,Riverside,1266
2023,Sacramento,1151
2023,San Benito,6
2023,San Bernardino,1229
2023,San Diego,1689
2023,San Francisco,582
2023,San Joaquin,398
2023,San Luis Obispo,133
2023,San Mateo,383
2023,Santa Barbara,207
2023,Santa Clara,895
2023,Santa Cruz,85
2023,Shasta,235
2023,Siskiyou,17
2023,Solano,283
2023,Sonoma,243
2023,Stanislaus,495
2023,Tehama,16
2023,Trinity,2
2023,Tulare,248
2023,Tuolumne,23
2023,Ventura,413
2023,Yolo,26
2023,Yuba,95
