Geography,Year,Numerator,Denominator
Fresno,2013-2015,7765.0,1120875.0
Fresno,2014,112.0,15799.0
Fresno,2014-2016,6382.0,1107363.0
Fresno,2015,126.0,15363.0
Fresno,2015-2017,6063.0,1077913.0
Fresno,2016,78.0,15135.0
Fresno,2016-2018,5644.0,1055689.0
Fresno,2017,95.0,14545.0
Fresno,2017-2019,5875.0,1030320.0
Fresno,2018,106.0,14413.0
Fresno,2018-2020,5569.0,1013408.0
Fresno,2019,88.0,14059.0
Fresno,2019-2021,4882.0,1001894.0
Fresno,2020,79.0,13835.0
Fresno,2021,76.0,13973.0
Glenn,2007,0.0,435.0
Glenn,2007-2009,0.0,29200.0
Glenn,2008,0.0,472.0
Glenn,2008-2010,0.0,29224.0
Glenn,2009,0.0,424.0
Glenn,2009-2011,0.0,27485.0
Glenn,2010,0.0,435.0
Glenn,2010-2012,0.0,26263.0
Glenn,2011,0.0,391.0
Glenn,2011-2013,0.0,25491.0
Glenn,2012,0.0,368.0
Glenn,2012-2014,0.0,26055.0
Glenn,2013,0.0,399.0
Glenn,2013-2015,0.0,28512.0
Glenn,2014,0.0,416.0
Glenn,2014-2016,0.0,28076.0
Glenn,2015,0.0,376.0
Glenn,2015-2017,0.0,27175.0
Glenn,2016,0.0,380.0
Glenn,2016-2018,0.0,26917.0
Glenn,2017,0.0,378.0
Glenn,2017-2019,0.0,27333.0
Glenn,2018,0.0,364.0
Glenn,2018-2020,0.0,26924.0
Glenn,2019,0.0,397.0
Glenn,2019-2021,56.0,26673.0
Glenn,2020,0.0,360.0
Glenn,2021,0.0,354.0
Humboldt,2007,0.0,1602.0
Humboldt,2007-2009,222.0,104180.0
Humboldt,2008,0.0,1606.0
Humboldt,2008-2010,276.0,103132.0
Humboldt,2009,0.0,1545.0
Humboldt,2009-2011,318.0,99701.0
Humboldt,2010,11.0,1556.0
Humboldt,2010-2012,437.0,98919.0
Humboldt,2011,11.0,1451.0
Humboldt,2011-2013,376.0,98310.0
Humboldt,2012,11.0,1511.0
Humboldt,2012-2014,415.0,98812.0
Humboldt,2013,0.0,1534.0
Humboldt,2013-2015,423.0,105376.0
Humboldt,2014,12.0,1474.0
Humboldt,2014-2016,508.0,104601.0
Humboldt,2015,11.0,1446.0
Humboldt,2015-2017,444.0,102407.0
Humboldt,2016,0.0,1491.0
Humboldt,2016-2018,311.0,100685.0
Humboldt,2017,0.0,1372.0
Humboldt,2017-2019,347.0,98815.0
Humboldt,2018,0.0,1365.0
Humboldt,2018-2020,277.0,96102.0
Humboldt,2019,10.0,1409.0
Humboldt,2019-2021,195.0,93680.0
Humboldt,2020,0.0,1257.0
Humboldt,2021,0.0,1266.0
Imperial,2007,17.0,3148.0
Imperial,2007-2009,618.0,209145.0
Imperial,2008,10.0,3221.0
Imperial,2008-2010,597.0,207262.0
Imperial,2009,14.0,3147.0
Imperial,2009-2011,604.0,202897.0
Imperial,2010,17.0,3072.0
Imperial,2010-2012,489.0,198417.0
Imperial,2011,11.0,3075.0
Imperial,2011-2013,363.0,197562.0
Imperial,2012,0.0,3041.0
Imperial,2012-2014,312.0,202801.0
Imperial,2013,10.0,3069.0
Imperial,2013-2015,439.0,226451.0
Imperial,2014,10.0,3270.0
Imperial,2014-2016,547.0,225466.0
Imperial,2015,13.0,3217.0
Imperial,2015-2017,636.0,217418.0
Imperial,2016,13.0,2990.0
Imperial,2016-2018,549.0,203594.0
Imperial,2017,13.0,2924.0
Imperial,2017-2019,438.0,194964.0
Imperial,2018,0.0,2624.0
Imperial,2018-2020,328.0,183107.0
Imperial,2019,0.0,2617.0
Imperial,2019-2021,268.0,178961.0
Imperial,2020,0.0,2422.0
Imperial,2021,0.0,2443.0
Inyo,2007,0.0,212.0
Inyo,2007-2009,0.0,14879.0
Inyo,2008,0.0,226.0
Inyo,2008-2010,0.0,14445.0
Inyo,2009,0.0,239.0
Inyo,2009-2011,0.0,14162.0
Inyo,2010,0.0,192.0
Inyo,2010-2012,0.0,13725.0
Inyo,2011,0.0,213.0
Inyo,2011-2013,0.0,14523.0
Inyo,2012,0.0,219.0
Inyo,2012-2014,0.0,14784.0
Inyo,2013,0.0,230.0
Inyo,2013-2015,0.0,15641.0
Inyo,2014,0.0,226.0
Inyo,2014-2016,0.0,14531.0
Inyo,2015,0.0,203.0
Inyo,2015-2017,0.0,14233.0
Inyo,2016,0.0,182.0
Inyo,2016-2018,0.0,13513.0
Inyo,2017,0.0,212.0
Inyo,2017-2019,0.0,13712.0
Inyo,2018,0.0,172.0
Inyo,2018-2020,0.0,12715.0
Inyo,2019,0.0,191.0
Inyo,2019-2021,0.0,12563.0
Inyo,2020,0.0,171.0
Inyo,2021,0.0,166.0
Kern,2007,108.0,15330.0
Kern,2007-2009,5690.0,969213.0
Kern,2008,117.0,15312.0
Kern,2008-2010,5001.0,958873.0
Kern,2009,101.0,14828.0
Kern,2009-2011,4778.0,945001.0
Kern,2010,66.0,14419.0
Kern,2010-2012,4447.0,943167.0
Kern,2011,101.0,14290.0
Kern,2011-2013,5237.0,940080.0
Kern,2012,82.0,14558.0
Kern,2012-2014,4962.0,938400.0
Kern,2013,106.0,14148.0
Kern,2013-2015,5709.0,1000663.0
Kern,2014,87.0,14197.0
Kern,2014-2016,5013.0,988426.0
Kern,2015,95.0,13771.0
Kern,2015-2017,4854.0,968420.0
Kern,2016,73.0,13733.0
Kern,2016-2018,4362.0,950184.0
Kern,2017,78.0,13331.0
Kern,2017-2019,4419.0,929276.0
Kern,2018,71.0,12882.0
Kern,2018-2020,4506.0,907165.0
Kern,2019,75.0,12775.0
Kern,2019-2021,4420.0,897196.0
Kern,2020,83.0,12356.0
Kern,2021,69.0,12502.0
Kings,2007,11.0,2781.0
Kings,2007-2009,533.0,178176.0
Kings,2008,14.0,2711.0
Kings,2008-2010,697.0,172725.0
Kings,2009,10.0,2644.0
Kings,2009-2011,750.0,169864.0
Kings,2010,19.0,2507.0
Kings,2010-2012,790.0,163716.0
Kings,2011,17.0,2565.0
Kings,2011-2013,705.0,161275.0
Kings,2012,12.0,2357.0
Kings,2012-2014,556.0,156447.0
Kings,2013,14.0,2394.0
Kings,2013-2015,653.0,167496.0
Kings,2014,10.0,2343.0
Kings,2014-2016,511.0,164409.0
Kings,2015,14.0,2275.0
Kings,2015-2017,544.0,165373.0
Kings,2016,0.0,2248.0
Kings,2016-2018,489.0,165034.0
Kings,2017,12.0,2375.0
Kings,2017-2019,481.0,161592.0
Kings,2018,10.0,2257.0
Kings,2018-2020,459.0,158384.0
Kings,2019,0.0,2099.0
Kings,2019-2021,542.0,156131.0
Kings,2020,11.0,2235.0
Kings,2021,14.0,2162.0
Lake,2007,0.0,742.0
Lake,2007-2009,69.0,47722.0
Lake,2008,0.0,706.0
Lake,2008-2010,109.0,47265.0
Lake,2009,0.0,727.0
Lake,2009-2011,127.0,47498.0
Lake,2010,0.0,721.0
Lake,2010-2012,64.0,47797.0
Lake,2011,0.0,718.0
Lake,2011-2013,159.0,48679.0
Lake,2012,0.0,741.0
Lake,2012-2014,87.0,49347.0
Lake,2013,0.0,761.0
Lake,2013-2015,168.0,53133.0
Lake,2014,0.0,748.0
Lake,2014-2016,0.0,52884.0
Lake,2015,0.0,724.0
Lake,2015-2017,0.0,53001.0
Lake,2016,0.0,749.0
Lake,2016-2018,95.0,52884.0
Lake,2017,0.0,751.0
Lake,2017-2019,102.0,52585.0
Lake,2018,10.0,716.0
Lake,2018-2020,148.0,51513.0
Lake,2019,0.0,732.0
Lake,2019-2021,20.0,50253.0
Lake,2020,0.0,702.0
Lake,2021,0.0,661.0
Lassen,2007,0.0,264.0
Lassen,2007-2009,0.0,19651.0
Lassen,2008,0.0,323.0
Lassen,2008-2010,0.0,20881.0
Lassen,2009,0.0,325.0
Lassen,2009-2011,0.0,20541.0
Lassen,2010,0.0,322.0
Lassen,2010-2012,0.0,20075.0
Lassen,2011,0.0,300.0
Lassen,2011-2013,0.0,19580.0
Lassen,2012,0.0,298.0
Lassen,2012-2014,0.0,20129.0
Lassen,2013,0.0,294.0
Lassen,2013-2015,0.0,21470.0
Lassen,2014,0.0,326.0
Lassen,2014-2016,0.0,21731.0
Lassen,2015,0.0,294.0
Lassen,2015-2017,0.0,21158.0
Lassen,2016,0.0,306.0
Lassen,2016-2018,0.0,21452.0
Lassen,2017,0.0,301.0
Lassen,2017-2019,0.0,20863.0
Lassen,2018,0.0,310.0
Lassen,2018-2020,0.0,20179.0
Lassen,2019,0.0,284.0
Lassen,2019-2021,0.0,19709.0
Lassen,2020,0.0,275.0
Lassen,2021,0.0,292.0
Los Angeles,2007,852.0,151908.0
Los Angeles,2007-2009,41755.0,9600224.0
Los Angeles,2008,809.0,147824.0
Los Angeles,2008-2010,38387.0,9203732.0
Los Angeles,2009,705.0,139728.0
Los Angeles,2009-2011,35219.0,8831620.0
Los Angeles,2010,645.0,133227.0
Los Angeles,2010-2012,33409.0,8654082.0
Los Angeles,2011,619.0,130388.0
Los Angeles,2011-2013,31992.0,8551244.0
Los Angeles,2012,602.0,131725.0
Los Angeles,2012-2014,30826.0,8553840.0
Los Angeles,2013,563.0,128594.0
Los Angeles,2013-2015,32952.0,9156379.0
Los Angeles,2014,545.0,130167.0
Los Angeles,2014-2016,32451.0,9029986.0
Los Angeles,2015,536.0,124460.0
Los Angeles,2015-2017,30849.0,8719471.0
Los Angeles,2016,536.0,122950.0
Los Angeles,2016-2018,29151.0,8385225.0
Los Angeles,2017,462.0,116872.0
Los Angeles,2017-2019,26301.0,8012918.0
Los Angeles,2018,451.0,110186.0
Los Angeles,2018-2020,24615.0,7558062.0
Los Angeles,2019,395.0,107042.0
Los Angeles,2019-2021,23165.0,7215471.0
Los Angeles,2020,382.0,97792.0
Los Angeles,2021,381.0,95934.0
Madera,2007,0.0,2611.0
Madera,2007-2009,483.0,164557.0
Madera,2008,13.0,2535.0
Madera,2008-2010,621.0,160729.0
Madera,2009,13.0,2390.0
Madera,2009-2011,703.0,158179.0
Madera,2010,14.0,2435.0
Madera,2010-2012,648.0,155545.0
Madera,2011,17.0,2402.0
Madera,2011-2013,612.0,153168.0
Madera,2012,13.0,2259.0
Madera,2012-2014,467.0,151332.0
Madera,2013,11.0,2314.0
Madera,2013-2015,515.0,163932.0
Madera,2014,0.0,2314.0
Madera,2014-2016,551.0,165014.0
Madera,2015,14.0,2226.0
Madera,2015-2017,577.0,160467.0
Madera,2016,13.0,2356.0
Madera,2016-2018,468.0,157066.0
Madera,2017,0.0,2121.0
Madera,2017-2019,424.0,150123.0
Madera,2018,0.0,2075.0
Madera,2018-2020,448.0,149691.0
Madera,2019,12.0,2065.0
Madera,2019-2021,631.0,148747.0
Madera,2020,0.0,2109.0
Madera,2021,16.0,2045.0
Marin,2007,0.0,2822.0
Marin,2007-2009,334.0,176144.0
Marin,2008,0.0,2718.0
Marin,2008-2010,322.0,166928.0
Marin,2009,0.0,2495.0
Marin,2009-2011,252.0,159363.0
Marin,2010,0.0,2371.0
Marin,2010-2012,261.0,154787.0
Marin,2011,0.0,2387.0
Marin,2011-2013,319.0,153397.0
Marin,2012,0.0,2306.0
Marin,2012-2014,391.0,153564.0
Marin,2013,12.0,2321.0
Marin,2013-2015,284.0,166778.0
Marin,2014,0.0,2403.0
Marin,2014-2016,124.0,165376.0
Marin,2015,0.0,2288.0
Marin,2015-2017,0.0,161660.0
Marin,2016,0.0,2255.0
Marin,2016-2018,34.0,158034.0
Marin,2017,0.0,2238.0
Marin,2017-2019,0.0,154011.0
Marin,2018,0.0,2129.0
Marin,2018-2020,0.0,150193.0
Marin,2019,0.0,2085.0
Marin,2019-2021,0.0,155232.0
Marin,2020,0.0,2083.0
Marin,2021,0.0,2336.0
Mariposa,2007,0.0,141.0
Mariposa,2007-2009,0.0,9616.0
Mariposa,2008,0.0,148.0
Mariposa,2008-2010,0.0,9693.0
Mariposa,2009,0.0,155.0
Mariposa,2009-2011,0.0,9370.0
Mariposa,2010,0.0,145.0
Mariposa,2010-2012,0.0,9540.0
Mariposa,2011,0.0,132.0
Mariposa,2011-2013,0.0,9327.0
Mariposa,2012,0.0,161.0
Mariposa,2012-2014,0.0,9458.0
Mariposa,2013,0.0,134.0
Mariposa,2013-2015,0.0,10379.0
Mariposa,2014,0.0,138.0
Mariposa,2014-2016,0.0,10731.0
Mariposa,2015,0.0,166.0
Mariposa,2015-2017,0.0,10814.0
Mariposa,2016,0.0,148.0
Mariposa,2016-2018,0.0,10577.0
Mariposa,2017,0.0,141.0
Mariposa,2017-2019,0.0,10187.0
Mariposa,2018,0.0,156.0
Mariposa,2018-2020,0.0,9808.0
Mariposa,2019,0.0,132.0
Mariposa,2019-2021,0.0,10117.0
Mariposa,2020,0.0,125.0
Mariposa,2021,0.0,169.0
Mendocino,2007,0.0,1146.0
Mendocino,2007-2009,298.0,74720.0
Mendocino,2008,0.0,1171.0
Mendocino,2008-2010,300.0,72987.0
Mendocino,2009,11.0,1100.0
Mendocino,2009-2011,265.0,70711.0
Mendocino,2010,0.0,1062.0
Mendocino,2010-2012,174.0,71891.0
Mendocino,2011,0.0,1065.0
Mendocino,2011-2013,126.0,70997.0
Mendocino,2012,0.0,1153.0
Mendocino,2012-2014,282.0,70015.0
Mendocino,2013,0.0,1021.0
Mendocino,2013-2015,308.0,73560.0
Mendocino,2014,14.0,1020.0
Mendocino,2014-2016,473.0,73688.0
Mendocino,2015,0.0,1053.0
Mendocino,2015-2017,263.0,73041.0
Mendocino,2016,10.0,1026.0
Mendocino,2016-2018,251.0,69492.0
Mendocino,2017,0.0,992.0
Mendocino,2017-2019,74.0,67251.0
Mendocino,2018,0.0,901.0
Mendocino,2018-2020,76.0,64690.0
Mendocino,2019,0.0,926.0
Mendocino,2019-2021,58.0,64951.0
Mendocino,2020,0.0,882.0
Mendocino,2021,0.0,909.0
Merced,2007,31.0,4650.0
Merced,2007-2009,1494.0,293022.0
Merced,2008,33.0,4423.0
Merced,2008-2010,1316.0,284916.0
Merced,2009,22.0,4408.0
Merced,2009-2011,1131.0,282792.0
Merced,2010,22.0,4248.0
Merced,2010-2012,1212.0,281447.0
Merced,2011,24.0,4281.0
Merced,2011-2013,1105.0,280063.0
Merced,2012,25.0,4311.0
Merced,2012-2014,842.0,277597.0
Merced,2013,15.0,4161.0
Merced,2013-2015,885.0,297337.0
Merced,2014,11.0,4159.0
Merced,2014-2016,878.0,296289.0
Merced,2015,22.0,4105.0
Merced,2015-2017,1035.0,297350.0
Merced,2016,16.0,4117.0
Merced,2016-2018,862.0,291654.0
Merced,2017,18.0,4202.0
Merced,2017-2019,938.0,285259.0
Merced,2018,14.0,3872.0
Merced,2018-2020,870.0,274299.0
Merced,2019,19.0,3852.0
Merced,2019-2021,888.0,274291.0
Merced,2020,17.0,3771.0
Merced,2021,14.0,3904.0
Modoc,2007,0.0,80.0
Modoc,2007-2009,0.0,5391.0
Modoc,2008,0.0,92.0
Modoc,2008-2010,0.0,6366.0
Modoc,2009,0.0,85.0
Modoc,2009-2011,0.0,6362.0
Modoc,2010,0.0,119.0
Modoc,2010-2012,0.0,6196.0
Modoc,2011,0.0,87.0
Modoc,2011-2013,0.0,4964.0
Modoc,2012,0.0,76.0
Modoc,2012-2014,0.0,5010.0
Modoc,2013,0.0,63.0
